date,year,spawn
3/21/2008,2018,
3/22/2008,2018,
3/23/2008,2018,
3/24/2008,2018,1.9
3/25/2008,2018,7
3/26/2008,2018,7
3/27/2008,2018,0.2
3/28/2008,2018,0.2
3/29/2008,2018,0.5
3/30/2008,2018,1.8
3/31/2008,2018,4.2
4/1/2008,2018,0
4/2/2008,2018,0
4/3/2008,2018,0
4/4/2008,2018,0
4/5/2008,2018,0
4/6/2008,2018,0
4/7/2008,2018,0
4/8/2008,2018,0
4/9/2008,2018,2
4/10/2008,2018,4
4/11/2008,2018,5.8
4/12/2008,2018,8.3
4/13/2008,2018,7.7
4/14/2008,2018,1
4/15/2008,2018,0.1
4/16/2008,2018,0.25
4/17/2008,2018,0.5
4/18/2008,2018,
4/19/2008,2018,
4/20/2008,2018,
4/21/2008,2018,
4/22/2008,2018,
4/23/2008,2018,
4/24/2008,2018,
4/25/2008,2018,
4/26/2008,2018,
4/27/2008,2018,
