"","fish","agei","A1","A2","A3","A4","A6"
"93",26,1,218.909270911244,218.697976834682,216.173757303211,211.950832061022,217.137198810752
"94",26,2,209.030875205145,210.165566171449,207.739828015793,205.503856638883,207.925022878929
"95",26,3,202.994077829195,203.724972315976,202.407408208264,201.329175832744,202.825425488098
"96",26,4,200.030559117365,201.137725211641,200.23091032764,199.638165885953,200.303043982956
"97",26,5,198.713439689885,198.880764971689,198.598536917172,198.36990842586,198.712846947105
"98",26,6,198,198,198,198,198
"99",27,1,195.52596417287,196.238470183835,197.151488706876,192.165901073801,194.929861271047
"100",27,2,189.962240252924,190.946813819249,189.607439468024,188.389277534906,190.115383079024
"101",27,3,186.303214611879,186.159124727481,186.164517667742,185.677855506981,186.003016290005
"102",27,4,185,185,185,185,185
"103",28,1,188.809966628877,188.593657426203,187.789025045231,188.080789008316,NA
"104",28,2,184.745808072381,184.729104950802,183.548796861516,184.164303238136,NA
"105",28,3,180.633835885808,180.721420902238,180.674864425887,180.200055446367,NA
"106",28,4,177,177,177,177,NA
"107",29,1,173.351045728802,173.284439901685,174.473812589901,171.997784236594,171.201123529877
"108",29,2,167,167,167,167,167
"109",30,1,183.859234344767,185.421248539714,184.353526710236,181.298054536633,182.473250917251
"110",30,2,176.844009907144,177.167236990005,176.624165756051,176.616283701812,175.404406229379
"111",30,3,174.853202972143,175.487641616517,174.954242093109,174.688495711003,174.514948950772
"112",30,4,174,174,174,174,174
"113",31,1,195.789810223222,194.45028783595,197.96893581976,194.265845497271,194.780985339345
"114",31,2,189.885646325712,189.050103893449,190.982775856295,189.316237415073,189.361862958492
"115",31,3,186,186,186,186,186
"116",32,1,236.833383892118,239.918117914151,234.36782074352,234.129034776648,237.06473468996
"117",32,2,228.716952945497,230.539701098333,227.576942736538,227.026752064379,227.989300845578
"118",32,3,222.37027010002,223.086654622186,221.387027385041,222.01337603219,221.568585744791
"119",32,4,219.868212439783,220.974958120612,219.40385062194,219.864786304108,219.901669324394
"120",32,5,218.525644914778,218.676935457133,218.322117842067,218.611442296061,218.666916420397
"121",32,6,217.54923216932,217.931630809518,217.540866389937,217.835562672032,217.617376451999
"122",32,7,217,217,217,217,217
"123",33,1,189.566013521757,189.269661518983,191.012728515985,187.880339222769,187.23642341682
"124",33,2,182.962065100645,183.300193629795,183.111219266848,182.626779740923,182.094754146974
"125",33,3,180,180,180,180,180
"126",34,1,199.96600935923,195.360710527834,199.743817083735,197.707761174247,193.114455680365
"127",34,2,192.310567191948,190.07643845567,192.251886718541,191.980587959139,189.09110833009
"128",34,3,187.810408620641,187.006528013746,188.118407896365,187.419122566575,187.128499866541
"129",34,4,186,186,186,186,186
"130",35,1,213.512503334601,217.557233633119,214.020201676502,209.316100120584,214.188011489151
"131",35,2,206.674191930451,207.939895464659,206.462436710263,204.684366727299,206.819044281607
"132",35,3,202.461792105494,203.354885407602,201.752525209563,202.105333360584,202.529645459306
"133",35,4,200,200,200,200,200
"134",36,1,215.258572102371,213.129724401167,216.124181579441,212.074459283972,214.849232736435
