"","sample_no","image_name","year","age","sex_histology","maturation_status_histology","maturity","anu_adj","radcap","length_mm","length_prior","Increment1","Increment2","Increment3","Increment4","Increment5","Increment6","Increment7","anu1","anu2","anu3","anu4","anu5","anu6","anu7","rad1","rad2","rad3","rad4","rad5","rad6","rad7"
"111",427,"17NPRB042703S30S2",2017,"3","Female","1","immature",0.594,4.299,182,3.705,2.32,1.385,0.594,NA,NA,NA,NA,2.32,1.385,0.594,0,0,0,0,2.32,3.705,4.299,4.299,4.299,4.299,4.299
"112",433,"17NPRB043305S30S8",2017,"5","Female","4","mature",0.251,4.503,204,4.252,1.465,1.491,0.716,0.58,0.251,NA,NA,1.465,1.491,0.716,0.58,0.251,0,0,1.465,2.956,3.672,4.252,4.503,4.503,4.503
"113",435,"17NPRB043504S30S10",2017,"4","Female","1","immature",0.307,3.042,191,2.735,1.519,0.765,0.451,0.307,NA,NA,NA,1.519,0.765,0.451,0.307,0,0,0,1.519,2.284,2.735,3.042,3.042,3.042,3.042
"114",438,"17NPRB043805S30S13",2017,"5","Female","4","mature",0.154,3.805,194,3.651,1.516,1.176,0.593,0.366,0.154,NA,NA,1.516,1.176,0.593,0.366,0.154,0,0,1.516,2.692,3.285,3.651,3.805,3.805,3.805
"115",447,"17NPRB044702S31S7",2017,"2","Female","1","immature",1.224,3.868,160,2.644,2.644,1.224,NA,NA,NA,NA,NA,2.644,1.224,0,0,0,0,0,2.644,3.868,3.868,3.868,3.868,3.868,3.868
"116",448,"17NPRB044802S31S8",2017,"2","Female","1","immature",1.295,3.613,152,2.318,2.318,1.295,NA,NA,NA,NA,NA,2.318,1.295,0,0,0,0,0,2.318,3.613,3.613,3.613,3.613,3.613,3.613
"117",452,"17NPRB045202S31S12",2017,"2","Female","1","immature",1.059,2.931,162,1.872,1.872,1.059,NA,NA,NA,NA,NA,1.872,1.059,0,0,0,0,0,1.872,2.931,2.931,2.931,2.931,2.931,2.931
"118",455,"17NPRB045505S31S15",2017,"5","Female","4","mature",0.428,4.709,198,4.281,1.685,1.25,1.013,0.333,0.428,NA,NA,1.685,1.25,1.013,0.333,0.428,0,0,1.685,2.935,3.948,4.281,4.709,4.709,4.709
"119",459,"17NPRB045902S32S4",2017,"2","Female","1","immature",0.836,2.243,133,1.407,1.407,0.836,NA,NA,NA,NA,NA,1.407,0.836,0,0,0,0,0,1.407,2.243,2.243,2.243,2.243,2.243,2.243
"120",460,"17NPRB046002S32S5",2017,"2","Female","2","mature",0.961,3.287,167,2.326,2.326,0.961,NA,NA,NA,NA,NA,2.326,0.961,0,0,0,0,0,2.326,3.287,3.287,3.287,3.287,3.287,3.287
