image_name,Increment1 ,Increment2,Increment3,Increment4,Increment5,Increment6,Increment7
17NPRB060602S42S14,2.236,1.59,,,,,
17NPRB060702S42S15 ,1.922,1.004,,,,,
17NPRB060702S42S15,1.908,0.997,,,,,
17NPRB060802S43S1,2.463,1.253,,,,,
17NPRB060902S43S2,2.355,1.119,,,,,
17NPRB061002S43S3,2.518,1.324,,,,,
17NPRB061102S43S4,2.433,1.103,,,,,
17NPRB061202S43S5,1.98,1.101,,,,,
17NPRB061302S43S6a,2.418,1.169,,,,,
17NPRB061402S43S7,1.673,0.737,,,,,
17NPRB061502S43S8,1.19,1.46,,,,,
17NPRB061602S43S9,1.669,1.176,,,,,
17NPRB061702S43S10,1.984,0.846,,,,,
17NPRB061802S43S11,1.57,1.099,,,,,
17NPRB061902S43S12,1.849,1.067,,,,,
17NPRB062002S43S13,1.797,1.227,,,,,
17NPRB062102S43S14,1.816,1.312,,,,,
17NPRB062202S43S15,1.405,1.175,,,,,
17NPRB062302S44S1,1.864,1.248,,,,,
17NPRB062402S44S2,1.629,1.707,,,,,
17NPRB062502S44S3,1.489,1.121,,,,,
17NPRB062602S44S4,1.823,1.322,,,,,
17NPRB062702S44S5,2.049,0.886,,,,,
17NPRB062802S44S6,1.72,1.688,,,,,
17NPRB062902S44S7,1.582,0.999,,,,,
17NPRB063002S44S8,1.74,1.007,,,,,
17NPRB063102S44S9,2.312,1.205,,,,,
17NPRB063202S44S10,2.628,1.632,,,,,
17NPRB063302S44S11,2.227,1.233,,,,,
17NPRB063402S44S12,2.012,1.245,,,,,
17NPRB063502S44S13,2.472,1.4,,,,,
17NPRB063602S44S14,1.807,1.504,,,,,
17NPRB063702S44S15,2.045,1.265,,,,,
17NPRB063803S45S1,1.234,0.747,0.208,,,,
17NPRB063902S45S2,2.309,1.183,,,,,
17NPRB064002S45S3,1.871,0.998,,,,,
17NPRB064102S45S4,2.149,1.762,,,,,
17NPRB064202S45S5,1.801,1.453,,,,,
17NPRB064302S45S6,1.998,1.013,,,,,
17NPRB064402S45S7,2.143,1.285,,,,,
17NPRB064502S45S8,1.64,1.452,,,,,
17NPRB064602S45S9,1.76,0.937,,,,,
17NPRB064702S45S10,1.514,1.452,,,,,
17NPRB064802S45S11,2.692,1.317,,,,,
17NPRB064902S45S12,2.367,1.512,,,,,
17NPRB065002S45S13,2.363,1.048,,,,,
17NPRB065102S45S14,2.04,1.511,,,,,
17NPRB065202S45S15,2.318,1.398,,,,,
17NPRB065302S46S1,2.271,1.637,,,,,
17NPRB065402S46S2,2.382,1.321,,,,,
17NPRB065502S46S3,2.05,1.617,,,,,
17NPRB065602S46S4,1.788,1.225,,,,,
17NPRB065702S46S5,1.785,1.042,,,,,
17NPRB065802S46S6,1.993,1.408,,,,,
17NPRB065902S46S7,2.395,1.533,,,,,
17NPRB066002S46S8,2.567,1.746,,,,,
17NPRB066102S46S9,2.048,1.298,,,,,
17NPRB066202S46S10,2.457,1.252,,,,,
17NPRB066402S46S12,2.104,1.554,,,,,
17NPRB066502S46S13,1.871,1.114,,,,,
17NPRB066602S46S14,1.963,1.213,,,,,
17NPRB066702S46S15,1.691,0.725,,,,,
17NPRB066802S47S1,1.54,0.842,,,,,
17NPRB067002S47S3,2.101,1.215,,,,,
17NPRB067103S47S4,1.794,1.208,0.717,,,,
17NPRB067302S47S6,2.04,1.072,,,,,
17NPRB067404S47S7,2.049,1.221,0.722,0.405,,,
17NPRB067502S47S8,2.06,1.411,,,,,
17NPRB067602S47S9,1.976,1.479,,,,,
17NPRB067702S47S10,2.426,1.34,,,,,
17NPRB067802S47S11,2.09,1.643,,,,,
17NPRB067902S47S12,1.866,0.955,,,,,
17NPRB068002S47S13,2.242,1.066,,,,,
17NPRB068102S47S14,2.045,1.405,,,,,
17NPRB068202S47S15,2.468,1.235,,,,,
17NPRB068302S48S1,1.306,1.283,,,,,
17NPRB068402S48S2,1.315,1.056,,,,,
17NPRB068502S48S3,1.684,0.931,,,,,
17NPRB068602S48S4,1.637,0.885,,,,,
17NPRB068802S48S6,2.079,1.196,,,,,
17NPRB068903S48S7,2.186,1.358,0.334,,,,
17NPRB069102S48S9,2.169,1.329,,,,,
17NPRB069202S48S10,1.36,1.384,,,,,
17NPRB069402S48S12,2.399,1.543,,,,,
17NPRB069503S48S13,2.543,0.949,0.471,,,,
17NPRB069602S48S14,1.795,1.292,,,,,
17NPRB069703S48S15,2.49,1.403,0.329,,,,
17NPRB069803S49S1,2.242,1.066,,,,,
17NPRB069903S49S2,1.996,0.617,0.518,,,,
17NPRB070005S49S3,1.398,1.027,0.499,0.288,0.1,,
17NPRB070103S49S4,1.476,1.354,0.591,,,,
17NPRB070203S49S5,1.385,1.873,0.73,,,,
17NPRB070303S49S6,2.116,1.413,0.508,,,,
17NPRB070403S49S7,1.569,1.272,0.439,,,,
17NPRB070503S49S8,1.698,1.727,0.666,,,,
17NPRB070703S49S10,1.447,1.078,0.364,,,,
17NPRB070803S49S11,1.865,1.414,0.507,,,,
17NPRB070903S49S12,1.734,1.732,0.576,,,,
17NPRB071002S49S13,1.857,1.264,,,,,
17NPRB071102S49S14,1.907,1.213,,,,,
17NPRB071203S49S15,1.06,1.266,0.728,,,,
17NPRB071302S50S1,1.925,1.302,,,,,
17NPRB071402S50S2,1.866,1.039,,,,,
17NPRB071503S50S3,1.895,1.365,0.662,,,,
17NPRB071603S50S4,2.579,1.455,0.795,,,,
17NPRB071703S50S5,1.679,1.573,0.432,,,,
17NPRB071803S50S6,2.128,1.037,0.317,,,,
17NPRB071902S50S7,2.045,1.402,,,,,
17NPRB072004S50S8,1.178,1.45,0.979,0.403,,,
17NPRB072103S50S9,1.265,1.4,0.539,,,,
17NPRB072203S50S10,1.87,1.089,0.988,,,,
17NPRB072303S50S11,2.511,2.511,2.511,,,,
17NPRB072403S50S12,1.634,1.108,0.823,,,,
17NPRB072502S50S13,1.737,1.007,,,,,
17NPRB072604S50S14,2.23,0.373,0.393,0.43,,,
17NPRB072703S50S15,2.048,1.487,0.9,,,,
17NPRB072803S51S1,1.819,1.668,0.588,,,,
17NPRB072902S51S2,1.723,0.786,,,,,
17NPRB073002S51S3,2.371,1.494,,,,,
17NPRB073103S51S4,1.886,1.811,0.289,,,,
17NPRB073203S51S5,1.649,1.348,0.68,,,,
17NPRB073303S51S6,1.454,1.391,0.461,,,,
17NPRB073403S51S7,1.48,1.331,0.833,,,,
17NPRB073502S51S8,1.783,1.795,,,,,
17NPRB073603S51S9,1.504,1.635,0.68,,,,
17NPRB073703S51S10,2.037,1.541,0.77,,,,
17NPRB073803S51S11,1.95,1.733,0.615,,,,
17NPRB073902S51S12,2.196,1.497,,,,,
17NPRB074003S51S13,1.388,1.092,0.601,,,,
17NPRB074103S51S14,1.943,1.101,0.878,,,,
17NPRB074203S51S15,1.46,1.419,0.493,,,,
17NPRB074306S52S1,1.267,1.029,0.903,0.341,0.291,0.056,
17NPRB074403S52S2,1.401,1.292,0.465,,,,
17NPRB074603S52S4,1.74,1.716,0.634,,,,
17NPRB074703S52S5,1.8,1.481,0.59,,,,
17NPRB074803S52S6,1.519,1.832,0.589,,,,
17NPRB074903S52S7,1.824,1.173,0.543,,,,
17NPRB075003S52S8,1.486,1.307,0.234,,,,
17NPRB075103S52S9,1.539,1.381,0.542,,,,
17NPRB075203S52S10,1.491,2.082,0.855,,,,
17NPRB075303S52S11,1.679,0.94,0.624,,,,
17NPRB075403S52S12,2.412,1.582,0.726,,,,
17NPRB075503S52S13,1.435,1.182,0.371,,,,
17NPRB075603S52S14,1.932,1.361,0.499,,,,
17NPRB075703S52S15,2.359,1.532,0.611,,,,
